Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Ca(Edta)-2,Ca(Edta)-2,Ca(Edta)-2,aq,12.69,0.06,-22.2,0.4,,,,,1 Ca+2 1 Edta-4 = Ca(Edta)-2
Ca(HEdta)-,Ca(HEdta)-,Ca(HEdta)-,aq,3.54,0.09,,,,,,,1 Ca(Edta)-2 1 H+ = Ca(HEdta)-
Ca(H3Isa)+,Ca(H3Isa)+,Ca(H3Isa)+,aq,1.7,0.3,,,,,,,1 Ca+2 1 H3Isa- = Ca(H3Isa)+
Ca(H2Isa)(aq),Ca(H2Isa)(aq),Ca(H2Isa)(aq),aq,-10.4,0.5,,,,,,,1 Ca+2 1 H3Isa- -1 H+ = Ca(H2Isa)(aq)
Ni(Ox)(aq),Ni(Ox)(aq),Ni(Ox)(aq),aq,5.19,0.04,0,0.3,,,,,1 Ni+2 1 Ox-2 = Ni(Ox)(aq)
Ni(Ox)2-2,Ni(Ox)2-2,Ni(Ox)2-2,aq,7.64,0.07,-7.8,0.3,,,,,1 Ni+2 2 Ox-2 = Ni(Ox)2-2
Ni(Cit)-,Ni(Cit)-,Ni(Cit)-,aq,6.76,0.08,,,,,,,1 Ni+2 1 Cit-3 = Ni(Cit)-
Ni(Cit)2-4,Ni(Cit)2-4,Ni(Cit)2-4,aq,8.5,0.4,,,,,,,1 Ni+2 2 Cit-3 = Ni(Cit)2-4
Ni(HCit)(aq),Ni(HCit)(aq),Ni(HCit)(aq),aq,4.16,0.1,,,,,,,1 Ni+2 1 HCit-2 = Ni(HCit)(aq)
Ni(H2Cit)+,Ni(H2Cit)+,Ni(H2Cit)+,aq,2.05,0.25,,,,,,,1 Ni+2 1 H2Cit- = Ni(H2Cit)+
Ni(Edta)-2,Ni(Edta)-2,Ni(Edta)-2,aq,20.54,0.13,-26.1,0.4,,,,,1 Ni+2 1 Edta-4 = Ni(Edta)-2
Ni(HEdta)-,Ni(HEdta)-,Ni(HEdta)-,aq,3.66,0.16,-7.5,1.3,,,,,1 Ni(Edta)-2 1 H+ = Ni(HEdta)-
Ni(H3Isa)+,Ni(H3Isa)+,Ni(H3Isa)+,aq,2.4,,,,,,,,1 Ni+2 1 H3Isa- = Ni(H3Isa)+
UOx+2,UOx+2,U|4|Ox+2,aq,11,,,,,,,,1 U+4 1 Ox-2 = UOx+2
U(Ox)2(aq),U(Ox)2(aq),U|4|(Ox)2(aq),aq,8,,,,,,,,1 UOx+2 1 Ox-2 = U(Ox)2(aq)
U(Ox)3-2,U(Ox)3-2,U|4|(Ox)3-2,aq,5,,,,,,,,1 U(Ox)2(aq) 1 Ox-2 = U(Ox)3-2
U(Ox)4-4,U(Ox)4-4,U|4|(Ox)4-4,aq,3,,,,,,,,1 U(Ox)3-2 1 Ox-2 = U(Ox)4-4
UEdta(aq),UEdta(aq),U|4|Edta(aq),aq,29.5,0.2,,,,,,,1 U+4 1 Edta-4 = UEdta(aq)
UEdtaOH-,UEdtaOH-,U|4|EdtaOH-,aq,9.1,,,,,,,,1 UEdta(aq) 1 OH- = UEdtaOH-
(UEdtaOH)2-2,(UEdtaOH)2-2,(U|4|EdtaOH)2-2,aq,2.7,,,,,,,,2 UEdtaOH- = (UEdtaOH)2-2
UEdta(OH)2-2,UEdta(OH)2-2,U|4|Edta(OH)2-2,aq,5.9,,,,,,,,1 UEdtaOH- 1 OH- = UEdta(OH)2-2
UO2Ox(aq),UO2Ox(aq),U|6|O2Ox(aq),aq,7.13,0.16,25.4,18.4,,,,,1 UO2+2 1 Ox-2 = UO2Ox(aq)
UO2(Ox)2-2,UO2(Ox)2-2,U|6|O2(Ox)2-2,aq,11.65,0.15,,,,,,,1 UO2+2 2 Ox-2 = UO2(Ox)2-2
UO2(Ox)3-4,UO2(Ox)3-4,U|6|O2(Ox)3-4,aq,13.8,1.5,,,,,,,1 UO2+2 3 Ox-2 = UO2(Ox)3-4
UO2Cit-,UO2Cit-,U|6|O2Cit-,aq,8.96,0.17,,,,,,,1 UO2+2 1 Cit-3 = UO2Cit-
(UO2Cit)2-2,(UO2Cit)2-2,(U|6|O2Cit)2-2,aq,21.3,0.5,,,,,,,2 UO2+2 2 Cit-3 = (UO2Cit)2-2
UO2(HCit)(aq),UO2(HCit)(aq),U|6|O2(HCit)(aq),aq,5,1,,,,,,,1 UO2+2 1 HCit-2 = UO2(HCit)(aq)
UO2Edta-2,UO2Edta-2,U|6|O2Edta-2,aq,13.7,0.2,,,,,,,1 UO2+2 1 Edta-4 = UO2Edta-2
(UO2)2Edta(aq),(UO2)2Edta(aq),(U|6|O2)2Edta(aq),aq,20.6,0.4,,,,,,,2 UO2+2 1 Edta-4 = (UO2)2Edta(aq)
UO2(HEdta)-,UO2(HEdta)-,U|6|O2(HEdta)-,aq,8.37,0.1,,,,,,,1 UO2+2 1 HEdta-3 = UO2(HEdta)-
UO2(H3Isa)+,UO2(H3Isa)+,U|6|O2(H3Isa)+,aq,3.5,0.2,-1,1,,,,,1 UO2+2 1 H3Isa- = UO2(H3Isa)+
UO2(H3Isa)2(aq),UO2(H3Isa)2(aq),U|6|O2(H3Isa)2(aq),aq,6.2,0.2,1.4,1.8,,,,,1 UO2+2 2 H3Isa- = UO2(H3Isa)2(aq)
UO2(H3Isa)3-,UO2(H3Isa)3-,U|6|O2(H3Isa)3-,aq,8,0.2,-6.2,3,,,,,1 UO2+2 3 H3Isa- = UO2(H3Isa)3-
Np(Ox)+2,Np(Ox)+2,Np|4|(Ox)+2,aq,6.5,,,,,,,,1 Np+4 1 H2Ox(aq) -2 H+ = Np(Ox)+2
Np(Ox)2(aq),Np(Ox)2(aq),Np|4|(Ox)2(aq),aq,7.5,,,,,,,,1 Np+4 2 H2Ox(aq) -4 H+ = Np(Ox)2(aq)
Np(Ox)3-2,Np(Ox)3-2,Np|4|(Ox)3-2,aq,8,,,,,,,,1 Np+4 3 H2Ox(aq) -6 H+ = Np(Ox)3-2
Np(Edta)(aq),Np(Edta)(aq),Np|4|(Edta)(aq),aq,31.2,0.6,,,,,,,1 Np+4 1 Edta-4 = Np(Edta)(aq)
Np(OH)3(H3Isa)(aq),Np(OH)3(H3Isa)(aq),Np|4|(OH)3(H3Isa)(aq),aq,43.5,,,,,,,,1 Np+4 3 OH- 1 H3Isa- = Np(OH)3(H3Isa)(aq)
Np(OH)3(H3Isa)2-,Np(OH)3(H3Isa)2-,Np|4|(OH)3(H3Isa)2-,aq,2.1,,,,,,,,1 Np(OH)3(H3Isa)(aq) 1 H3Isa- = Np(OH)3(H3Isa)2-
Np(OH)4(H3Isa)-,Np(OH)4(H3Isa)-,Np|4|(OH)4(H3Isa)-,aq,50.1,,,,,,,,1 Np+4 4 OH- 1 H3Isa- = Np(OH)4(H3Isa)-
Np(OH)4(H3Isa)2-2,Np(OH)4(H3Isa)2-2,Np|4|(OH)4(H3Isa)2-2,aq,1.9,,,,,,,,1 Np(OH)4(H3Isa)- 1 H3Isa- = Np(OH)4(H3Isa)2-2
NpO2Ox-,NpO2Ox-,Np|5|O2Ox-,aq,3.9,0.1,,,,,,,1 NpO2+ 1 Ox-2 = NpO2Ox-
NpO2(Ox)2-3,NpO2(Ox)2-3,Np|5|O2(Ox)2-3,aq,5.8,0.2,,,,,,,1 NpO2+ 2 Ox-2 = NpO2(Ox)2-3
NpO2Cit-2,NpO2Cit-2,Np|5|O2Cit-2,aq,3.68,0.05,,,,,,,1 NpO2+ 1 Cit-3 = NpO2Cit-2
NpO2Edta-3,NpO2Edta-3,Np|5|O2Edta-3,aq,9.23,0.13,,,,,,,1 NpO2+ 1 Edta-4 = NpO2Edta-3
NpO2(HEdta)-2,NpO2(HEdta)-2,Np|5|O2(HEdta)-2,aq,5.82,0.11,,,,,,,1 NpO2+ 1 HEdta-3 = NpO2(HEdta)-2
NpO2(H2Edta)-,NpO2(H2Edta)-,Np|5|O2(H2Edta)-,aq,4.47,0.14,,,,,,,1 NpO2+ 1 H2Edta-2 = NpO2(H2Edta)-
NpO2EdtaOH-4,NpO2EdtaOH-4,Np|5|O2EdtaOH-4,aq,-12.4,,,,,,,,1 NpO2Edta-3 1 H2O(l) -1 H+ = NpO2EdtaOH-4
Pu(Ox)+,Pu(Ox)+,Pu|3|(Ox)+,aq,8.5,,,,,,,,1 Pu+3 1 Ox-2 = Pu(Ox)+
Pu(Ox)2-,Pu(Ox)2-,Pu|3|(Ox)2-,aq,12.7,,,,,,,,1 Pu+3 2 Ox-2 = Pu(Ox)2-
Pu(Ox)3-3,Pu(Ox)3-3,Pu|3|(Ox)3-3,aq,12.1,,,,,,,,1 Pu+3 3 Ox-2 = Pu(Ox)3-3
Pu(Cit)(aq),Pu(Cit)(aq),Pu|3|(Cit)(aq),aq,8.7,,,,,,,,1 Pu+3 1 Cit-3 = Pu(Cit)(aq)
Pu(HCit)+,Pu(HCit)+,Pu|3|(HCit)+,aq,6.1,,,,,,,,1 Pu+3 1 HCit-2 = Pu(HCit)+
Pu(Edta)-,Pu(Edta)-,Pu|3|(Edta)-,aq,20.18,0.37,-8.7,1.2,,,,,1 Pu+3 1 Edta-4 = Pu(Edta)-
Pu(HEdta)(aq),Pu(HEdta)(aq),Pu|3|(HEdta)(aq),aq,1.84,0.26,,,,,,,1 Pu(Edta)- 1 H+ = Pu(HEdta)(aq)
Pu(Ox)+2,Pu(Ox)+2,Pu|4|(Ox)+2,aq,7.3,,,,,,,,1 Pu+4 1 H2Ox(aq) -2 H+ = Pu(Ox)+2
Pu(Ox)2(aq),Pu(Ox)2(aq),Pu|4|(Ox)2(aq),aq,3.3,,,,,,,,1 Pu(Ox)+2 1 H2Ox(aq) -2 H+ = Pu(Ox)2(aq)
Pu(Ox)3-2,Pu(Ox)3-2,Pu|4|(Ox)3-2,aq,0.3,,,,,,,,1 Pu(Ox)2(aq) 1 H2Ox(aq) -2 H+ = Pu(Ox)3-2
Pu(Edta)(aq),Pu(Edta)(aq),Pu|4|(Edta)(aq),aq,31.6,1,,,,,,,1 Pu+4 1 Edta-4 = Pu(Edta)(aq)
Pu(Edta)OH-,Pu(Edta)OH-,Pu|4|(Edta)OH-,aq,9.3,,,,,,,,1 Pu(Edta)(aq) 1 OH- = Pu(Edta)OH-
Pu(Edta)(OH)2-2,Pu(Edta)(OH)2-2,Pu|4|(Edta)(OH)2-2,aq,6.9,,,,,,,,1 Pu(Edta)OH- 1 OH- = Pu(Edta)(OH)2-2
Am(Ox)+,Am(Ox)+,Am|3|(Ox)+,aq,6.51,0.15,,,,,,,1 Am+3 1 Ox-2 = Am(Ox)+
Am(Ox)2-,Am(Ox)2-,Am|3|(Ox)2-,aq,10.71,0.2,,,,,,,1 Am+3 2 Ox-2 = Am(Ox)2-
Am(Ox)3-3,Am(Ox)3-3,Am|3|(Ox)3-3,aq,13,1,,,,,,,1 Am+3 3 Ox-2 = Am(Ox)3-3
Am(Cit)(aq),Am(Cit)(aq),Am|3|(Cit)(aq),aq,8.55,0.2,,,,,,,1 Am+3 1 Cit-3 = Am(Cit)(aq)
Am(Cit)2-3,Am(Cit)2-3,Am|3|(Cit)2-3,aq,13.9,1,,,,,,,1 Am+3 2 Cit-3 = Am(Cit)2-3
Am(HCit)+,Am(HCit)+,Am|3|(HCit)+,aq,6.5,1,,,,,,,1 Am+3 1 HCit-2 = Am(HCit)+
Am(HCit)2-,Am(HCit)2-,Am|3|(HCit)2-,aq,10.8,1,,,,,,,1 Am+3 2 HCit-2 = Am(HCit)2-
Am(Edta)-,Am(Edta)-,Am|3|(Edta)-,aq,19.67,0.11,-10.6,2,,,,,1 Am+3 1 Edta-4 = Am(Edta)-
Am(HEdta)(aq),Am(HEdta)(aq),Am|3|(HEdta)(aq),aq,2.17,0.25,,,,,,,1 Am(Edta)- 1 H+ = Am(HEdta)(aq)
Am(Edta)OH-2,Am(Edta)OH-2,Am|3|(Edta)OH-2,aq,2.66,0.19,,,,,,,1 Am(Edta)- 1 OH- = Am(Edta)OH-2
Am(Isa)-,Am(Isa)-,Am|3|(Isa)-,aq,22.2,1,,,,,,,1 Am+3 1 H3Isa- -3 H+ = Am(Isa)-
