Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
(NpO2)3(CO3)6-6,(NpO2)3(CO3)6-6,(Np|+6|O2)3(CO3)6-6,aq,51.43,1.69,,,,,,,3 NpO2+2 6 CO3-2 = (NpO2)3(CO3)6-6
(NpO2)2CO3(OH)3-,(NpO2)2CO3(OH)3-,(Np|+6|O2)2CO3(OH)3-,aq,-1.81,1.66,,,,,,,2 NpO2+2 1 CO3-2 3 H2O(l) -3 H+ = (NpO2)2CO3(OH)3-
(UO2)2NpO2(CO3)6-6,(UO2)2NpO2(CO3)6-6,(U|+6|O2)2Np|+6|O2(CO3)6-6,aq,53.59,2.7,,,,,,,2 UO2+2 1 NpO2+2 6 CO3-2 = (UO2)2NpO2(CO3)6-6
NpO2(OH)(aq),NpO2(OH)(aq),Np|+5|O2(OH)(aq),aq,-11.3,0.7,64.784,,,,,,1 NpO2+ 1 H2O(l) -1 H+ = NpO2(OH)(aq)
NpO2(OH)2-,NpO2(OH)2-,Np|+5|O2(OH)2-,aq,-23.6,0.5,118.610,,,,,,1 NpO2+ 2 H2O(l) -2 H+ = NpO2(OH)2-
CaNpO2(OH)2+,CaNpO2(OH)2+,CaNp|+5|O2(OH)2+,aq,-20.6,0.2,,,,,,,1 NpO2+ 1 Ca+2 2 H2O(l) -2 H+ = CaNpO2(OH)2+
Ca3NpO2(OH)5+2,Ca3NpO2(OH)5+2,Ca3Np|+5|O2(OH)5+2,aq,-54.8,0.3,,,,,,,1 NpO2+ 3 Ca+2 5 H2O(l) -5 H+ = Ca3NpO2(OH)5+2
NpO2F(aq),NpO2F(aq),Np|+5|O2F(aq),aq,1.4,0.3,,,,,,,1 NpO2+ 1 F- = NpO2F(aq)
NpO2F2-,NpO2F2-,Np|+5|O2F2-,aq,1.9,0.4,,,,,,,1 NpO2+ 2 F- = NpO2F2-
NpO2IO3(aq),NpO2IO3(aq),Np|+5|O2I|+5|O3(aq),aq,0.5,0.3,,,,,,,1 NpO2+ 1 IO3- = NpO2IO3(aq)
NpO2SO4-,NpO2SO4-,Np|+5|O2SO4-,aq,1.3,0.2,22.0,7.0,,,,,1 NpO2+ 1 SO4-2 = NpO2SO4-
NpO2H2PO4(aq),NpO2H2PO4(aq),Np|+5|O2H2PO4(aq),aq,1.4,0.2,,,,,,,1 NpO2+ 1 H2PO4- = NpO2H2PO4(aq)
NpO2HPO4-,NpO2HPO4-,Np|+5|O2HPO4-,aq,2.95,0.1,-11,11,0,,25,55,1 NpO2+ 1 HPO4-2 = NpO2HPO4-
NpO2CO3-,NpO2CO3-,Np|+5|O2CO3-,aq,4.96,0.06,,,,,,,1 NpO2+ 1 CO3-2 = NpO2CO3-
NpO2(CO3)2-3,NpO2(CO3)2-3,Np|+5|O2(CO3)2-3,aq,6.53,0.1,,,,,,,1 NpO2+ 2 CO3-2 = NpO2(CO3)2-3
NpO2(CO3)3-5,NpO2(CO3)3-5,Np|+5|O2(CO3)3-5,aq,5.5,0.15,-13.3,5.1,,,,,1 NpO2+ 3 CO3-2 = NpO2(CO3)3-5
NpO2CO3OH-2,NpO2CO3OH-2,Np|+5|O2CO3OH-2,aq,-7.0,0.3,,,,,,,1 NpO2+ 1 CO3-2 1 H2O(l) -1 H+ = NpO2CO3OH-2
NpO2CO3(OH)2-3,NpO2CO3(OH)2-3,Np|+5|O2CO3(OH)2-3,aq,-20.34,0.15,,,,,,,1 NpO2+ 1 CO3-2 2 H2O(l) -2 H+ = NpO2CO3(OH)2-3
NpO2(CO3)2OH-4,NpO2(CO3)2OH-4,Np|+5|O2(CO3)2OH-4,aq,-5.3,1.17,,,,,,,1 NpO2+ 2 CO3-2 1 H2O(l) -1 H+ = NpO2(CO3)2OH-4
NpO2SCN(aq),NpO2SCN(aq),Np|+5|O2S|0|C|0|N|-1|(aq),aq,0.08,0.3,,,,,,,1 NpO2+ 1 SCN- = NpO2SCN(aq)
NpOH+3,NpOH+3,Np|+4|OH+3,aq,0.55,0.2,,,,,,,1 Np+4 1 H2O(l) -1 H+ = NpOH+3
Np(OH)2+2,Np(OH)2+2,Np|+4|(OH)2+2,aq,0.35,0.3,,,,,,,1 Np+4 2 H2O(l) -2 H+ = Np(OH)2+2
Np(OH)3+,Np(OH)3+,Np|+4|(OH)3+,aq,-2.8,1,,,,,,,1 Np+4 3 H2O(l) -3 H+ = Np(OH)3+
Np(OH)4(aq),Np(OH)4(aq),Np|+4|(OH)4(aq),aq,-8.3,1.1,,,,,,,1 Np+4 4 H2O(l) -4 H+ = Np(OH)4(aq)
Ca4Np(OH)8+4,Ca4Np(OH)8+4,Ca4Np|+4|(OH)8+4,aq,-56.1,0.8,,,,,,,4 Ca+2 1 Np+4 8 H2O(l) -8 H+ = Ca4Np(OH)8+4
NpF+3,NpF+3,Np|+4|F+3,aq,8.96,0.14,1.5,2,,,,,1 Np+4 1 F- = NpF+3
NpF2+2,NpF2+2,Np|+4|F2+2,aq,15.7,0.3,,,,,,,1 Np+4 2 F- = NpF2+2
NpCl+3,NpCl+3,Np|+4|Cl+3,aq,1.5,0.3,,,,,,,1 Np+4 1 Cl- = NpCl+3
NpI+3,NpI+3,Np|+4|I|-1|+3,aq,1.5,0.4,,,,,,,1 Np+4 1 I- = NpI+3
NpSO4+2,NpSO4+2,Np|+4|SO4+2,aq,6.85,0.16,29.8,8.9,,,,,1 Np+4 1 SO4-2 = NpSO4+2
Np(SO4)2(aq),Np(SO4)2(aq),Np|+4|(SO4)2(aq),aq,11.05,0.27,55.4,3.9,,,,,1 Np+4 2 SO4-2 = Np(SO4)2(aq)
NpNO3+3,NpNO3+3,Np|+4|NO3+3,aq,1.9,0.15,,,,,,,1 Np+4 1 NO3- = NpNO3+3
Np(CO3)4-4,Np(CO3)4-4,Np|+4|(CO3)4-4,aq,38.9,0.5,,,,,,,1 Np+4 4 CO3-2 = Np(CO3)4-4
Np(CO3)5-6,Np(CO3)5-6,Np|+4|(CO3)5-6,aq,37.8,0.6,,,,,,,1 Np+4 5 CO3-2 = Np(CO3)5-6
Np(OH)2(CO3)2-2,Np(OH)2(CO3)2-2,Np|+4|(OH)2(CO3)2-2,aq,-2.2,0.5,,,,,,,1 Np+4 2 H2O(l) 2 HCO3- -4 H+ = Np(OH)2(CO3)2-2
Np(OH)4CO3-2,Np(OH)4CO3-2,Np|+4|(OH)4CO3-2,aq,-5.5,0.5,,,,,,,1 Np+4 4 H2O(l) 1 CO3-2 -4 H+ = Np(OH)4CO3-2
NpSCN+3,NpSCN+3,Np|+4|S|0|C|0|N|-1|+3,aq,3,0.3,-7,3,,,,,1 Np+4 1 SCN- = NpSCN+3
Np(SCN)2+2,Np(SCN)2+2,Np|+4|(S|0|C|0|N|-1|)2+2,aq,4.1,0.5,-9,9,,,,,1 Np+4 2 SCN- = Np(SCN)2+2
Np(SCN)3+,Np(SCN)3+,Np|+4|(S|0|C|0|N|-1|)3+,aq,4.8,0.5,-13,9,,,,,1 Np+4 3 SCN- = Np(SCN)3+
NpOH+2,NpOH+2,Np|+3|OH+2,aq,-6.8,0.3,,,,,,,1 Np+3 1 H2O(l) -1 H+ = NpOH+2
Np(OH)2+,Np(OH)2+,Np|+3|(OH)2+,aq,-14.7,,,,,,,,1 Np+3 2 H2O(l) -2 H+ = Np(OH)2+
Np(OH)3(aq),Np(OH)3(aq),Np|+3|(OH)3(aq),aq,-25.8,,,,,,,,1 Np+3 3 H2O(l) -3 H+ = Np(OH)3(aq)
NpF+2,NpF+2,Np|+3|F+2,aq,3.4,,,,,,,,1 Np+3 1 F- = NpF+2
NpF2+,NpF2+,Np|+3|F2+,aq,5.8,,,,,,,,1 Np+3 2 F- = NpF2+
NpCl+2,NpCl+2,Np|+3|Cl+2,aq,0.24,,,,,,,,1 Np+3 1 Cl- = NpCl+2
NpCl2+,NpCl2+,Np|+3|Cl2+,aq,-0.74,,,,,,,,1 Np+3 2 Cl- = NpCl2+
NpSO4+,NpSO4+,Np|+3|SO4+,aq,3.3,,,,,,,,1 Np+3 1 SO4-2 = NpSO4+
Np(SO4)2-,Np(SO4)2-,Np|+3|(SO4)2-,aq,3.7,,,,,,,,1 Np+3 2 SO4-2 = Np(SO4)2-
NpCO3+,NpCO3+,Np|+3|CO3+,aq,8,,,,,,,,1 Np+3 1 CO3-2 = NpCO3+
Np(CO3)2-,Np(CO3)2-,Np|+3|(CO3)2-,aq,12.9,,,,,,,,1 Np+3 2 CO3-2 = Np(CO3)2-
Np(CO3)3-3,Np(CO3)3-3,Np|+3|(CO3)3-3,aq,15,,,,,,,,1 Np+3 3 CO3-2 = Np(CO3)3-3
