Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Fe0.875Se(cr),Fe0.875Se(cr),Fe0.625Fe|+3|0.25Se|-2|,s,5.1,0.93,-10.48,5.28,,,25,,0.625 Fe+2 0.25 Fe+3 1 H2Se(aq) -2 H+ = Fe0.875Se(cr)
Fe3Se4(gamma),Fe3Se4(gamma),Fe|+2|Fe|+3|2Se|-2|4,s,38.51,3.79,-114.8,21.6,,,25,,1 Fe+2 2 Fe+3 4 H2Se(aq) -8 H+ = Fe3Se4(gamma)
FeSe2(cr),ferroselite,Fe|+2|Se|0|Se|-2|,s,11.21,1.73,-58.31,9.86,,,25,,1 Fe+2 2 H2Se(aq) -4 H+ -2 e- = FeSe2(cr)
Fe2(SeO3)3w3(cr),Fe2(SeO3)3:3H2O(cr),Fe|+3|2(Se|+4|O3)3(H2O)3,s,11.3,0.6,,,,,,,2 Fe+3 3 H2SeO3(aq) 3 H2O(l) -6 H+ = Fe2(SeO3)3w3(cr)
Fe3(PO4)2w8(cr),vivianite,Fe3(PO4)2(H2O)8,s,11.3,0.4,,,,,,,3 Fe+2 2 HPO4-2 8 H2O(l) -2 H+ = Fe3(PO4)2w8(cr)
FeCO3(cr),siderite,FeCO3,s,10.9,,15.654,,405.855,,25,250,1 Fe+2 1 CO3-2 = FeCO3(cr)
Fe6(OH)12CO3wn(s),"Fe6(OH)12CO3:nH2O(s) ""carbonate green rust one""",Fe6(OH)12CO3,s,-52.4,5.3,,,,,,,6 Fe+2 1 CO3-2 12 H2O(l) -10 H+ -1 H2(g) = Fe6(OH)12CO3wn(s)
Fe3O4(cr),magnetite,Fe|+2|Fe|+3|2O4,s,-35.31,0.66,293.7,14.1,-243,126,25,300,3 Fe+2 4 H2O(l) -6 H+ -1 H2(g) = Fe3O4(cr)
Fe2O3(alpha),hematite,Fe|+3|2O3,s,-0.72,0.8,136.6,3.8,0,,20,300,2 Fe+3 3 H2O(l) -6 H+ = Fe2O3(alpha)
Fe2O3(gamma),maghemite,Fe|+3|2O3,s,-3.22,1.22,,,,,,,2 Fe+3 3 H2O(l) -6 H+ = Fe2O3(gamma)
FeOOH(alpha),goethite,Fe|+3|OOH,s,-0.33,0.1,65.5,2.3,0,,25,300,1 Fe+3 2 H2O(l) -3 H+ = FeOOH(alpha)
FeOOH(gamma),lepidocrocite,Fe|+3|OOH,s,-1.86,0.37,72.5,2.2,,,25,,1 Fe+3 2 H2O(l) -3 H+ = FeOOH(gamma)
Fe(OH)3(mic),2-line ferrihydrite,Fe|+3|(OH)3,s,-3.5,0.4,,,,,,,1 Fe+3 3 H2O(l) -3 H+ = Fe(OH)3(mic)
FePO4w2(s),FePO4:2H2O(s),Fe|+3|PO4(H2O)2,s,8.1,1,,,,,,,1 Fe+3 1 H2PO4- 2 H2O(l) -2 H+ = FePO4w2(s)
FePO4(cr),rodolicoite,Fe|+3|PO4,s,1.39,0.39,85.1,2.2,,,25,,1 Fe+3 1 H2PO4- -2 H+ = FePO4(cr)
