Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
KFe(CN)6-3,KFe(CN)6-3,KFe(C|0|N|-1|)6-3,aq,2.35,0.05,3.6,1,,,25,,1 Fe(CN)6-4 1 K+ = KFe(CN)6-3
FeOH+2,FeOH+2,Fe|+3|OH+2,aq,-2.2,0.02,43.3,0.6,0,,18,300,1 Fe+3 1 H2O(l) -1 H+ = FeOH+2
Fe(OH)2+,Fe(OH)2+,Fe|+3|(OH)2+,aq,-5.71,0.1,,,,,,,1 Fe+3 2 H2O(l) -2 H+ = Fe(OH)2+
Fe(OH)3(aq),Fe(OH)3(aq),Fe|+3|(OH)3(aq),aq,-12.26,0.26,146.3,4.8,-150,43,25,300,1 Fe+3 3 H2O(l) -3 H+ = Fe(OH)3(aq)
Fe(OH)4-,Fe(OH)4-,Fe|+3|(OH)4-,aq,-21.6,0.23,146.8,1.8,0,,25,300,1 Fe+3 4 H2O(l) -4 H+ = Fe(OH)4-
Fe2(OH)2+4,Fe2(OH)2+4,Fe|+3|2(OH)2+4,aq,-2.91,0.07,30.1,9.5,0,,18,32,2 Fe+3 2 H2O(l) -2 H+ = Fe2(OH)2+4
Fe3(OH)4+5,Fe3(OH)4+5,Fe|+3|3(OH)4+5,aq,-6.3,,59.8,,,,25,,3 Fe+3 4 H2O(l) -4 H+ = Fe3(OH)4+5
FeF+2,FeF+2,Fe|+3|F+2,aq,6.09,0.04,12.8,7.4,0,,0,35,1 Fe+3 1 F- = FeF+2
FeF2+,FeF2+,Fe|+3|F2+,aq,10.41,0.33,22,14,0,,0,35,1 Fe+3 2 F- = FeF2+
FeCl+2,FeCl+2,Fe|+3|Cl+2,aq,1.52,0.1,22.48,4.6,0,,20,65,1 Fe+3 1 Cl- = FeCl+2
FeCl2+,FeCl2+,Fe|+3|Cl2+,aq,2.2,0.2,,,,,,,1 Fe+3 2 Cl- = FeCl2+
FeCl3(aq),FeCl3(aq),Fe|+3|Cl3(aq),aq,1,0.3,,,,,,,1 Fe+3 3 Cl- = FeCl3(aq)
FeCl4-,FeCl4-,Fe|+3|Cl4-,aq,-1,0.8,,,,,,,1 Fe+3 4 Cl- = FeCl4-
FeSO4+,FeSO4+,Fe|+3|SO4+,aq,4.25,0.1,,,,,,,1 Fe+3 1 SO4-2 = FeSO4+
Fe(SO4)2-,Fe(SO4)2-,Fe|+3|(SO4)2-,aq,6.22,0.16,,,,,,,1 Fe+3 2 SO4-2 = Fe(SO4)2-
FeHSO4+2,FeHSO4+2,Fe|+3|HSO4+2,aq,1.73,0.76,,,,,,,1 Fe+3 1 HSO4- = FeHSO4+2
FeSeO3+,FeSeO3+,Fe|+3|Se|4|O3+,aq,0.9,0.5,,,,,,,1 Fe+3 1 H2SeO3(aq) -2 H+ = FeSeO3+
FePO4(aq),FePO4(aq),Fe|+3|PO4(aq),aq,0.7,1,,,,,,,1 Fe+3 1 H3PO4(aq) -3 H+ = FePO4(aq)
Fe(H2PO4)3(aq),Fe(H2PO4)3(aq),Fe|+3|(H2PO4)3(aq),aq,3.5,1,,,,,,,1 Fe+3 3 H3PO4(aq) -3 H+ = Fe(H2PO4)3(aq)
Fe(CO3)3-3,Fe(CO3)3-3,Fe|+3|(CO3)3-3,aq,24,2,,,,,,,1 Fe+3 3 CO3-2 = Fe(CO3)3-3
Fe(OH)CO3(aq),Fe(OH)CO3(aq),Fe|+3|(OH)CO3(aq),aq,10.7,2,,,,,,,1 Fe+3 1 CO3-2 1 H2O(l) -1 H+ = Fe(OH)CO3(aq)
Fe(CN)6-3,Fe(CN)6-3,Fe|+3|(C|0|N|-1|)6-3,aq,47.39,5.12,286.9,32.8,,,25,,1 Fe+3 6 CN- = Fe(CN)6-3
KFe(CN)6-2,KFe(CN)6-2,KFe|+3|(C|0|N|-1|)6-2,aq,1.46,0.05,2.1,1.3,,,25,,1 Fe(CN)6-3 1 K+ = KFe(CN)6-2
FeSCN+2,FeSCN+2,Fe|+3|S|0|C|0|N|-1|+2,aq,3.06,0.05,,,,,,,1 Fe+3 1 SCN- = FeSCN+2
Fe(SCN)2+,Fe(SCN)2+,Fe|+3|(S|0|C|0|N|-1|)2+,aq,2.23,0.5,,,,,,,1 FeSCN+2 1 SCN- = Fe(SCN)2+
