Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
UO2F3-,UO2F3-,U|+6|O2F3-,aq,10.9,0.1,-1.18,0.3,,,,,1 UO2+2 3 F- = UO2F3-
UO2F4-2,UO2F4-2,U|+6|O2F4-2,aq,11.84,0.11,-2.12,0.47,,,,,1 UO2+2 4 F- = UO2F4-2
UO2Cl+,UO2Cl+,U|+6|O2Cl+,aq,0.17,0.02,8,2,,,,,1 UO2+2 1 Cl- = UO2Cl+
UO2Cl2(aq),UO2Cl2(aq),U|+6|O2Cl2(aq),aq,-1.1,0.4,15,6,,,,,1 UO2+2 2 Cl- = UO2Cl2(aq)
UO2IO3+,UO2IO3+,U|+6|O2I|+5|O3+,aq,2,0.02,,,,,,,1 UO2+2 1 IO3- = UO2IO3+
UO2(IO3)2(aq),UO2(IO3)2(aq),U|+6|O2(I|+5|O3)2(aq),aq,3.59,0.15,,,,,,,1 UO2+2 2 IO3- = UO2(IO3)2(aq)
UO2SO4(aq),UO2SO4(aq),U|+6|O2SO4(aq),aq,3.15,0.1,19.5,1.6,,,,,1 UO2+2 1 SO4-2 = UO2SO4(aq)
UO2(SO4)2-2,UO2(SO4)2-2,U|+6|O2(SO4)2-2,aq,4.14,0.15,35.1,1,,,,,1 UO2+2 2 SO4-2 = UO2(SO4)2-2
UO2(SO4)3-4,UO2(SO4)3-4,U|+6|O2(SO4)3-4,aq,3.02,0.38,,,,,,,1 UO2+2 3 SO4-2 = UO2(SO4)3-4
UO2HSeO3+,UO2HSeO3+,U|+6|O2HSe|+4|O3+,aq,3.27,0.15,,,,,,,1 UO2+2 1 HSeO3- = UO2HSeO3+
UO2(HSeO3)2(aq),UO2(HSeO3)2(aq),U|+6|O2(HSe|+4|O3)2(aq),aq,5.51,0.11,,,,,,,1 UO2+2 2 HSeO3- = UO2(HSeO3)2(aq)
UO2SeO4(aq),UO2SeO4(aq),U|+6|O2Se|+6|O4(aq),aq,2.93,0.04,20,2,,,,,1 UO2+2 1 SeO4-2 = UO2SeO4(aq)
UO2(SeO4)2-2,UO2(SeO4)2-2,U|+6|O2(Se|+6|O4)2-2,aq,4.03,0.09,31,4,,,,,1 UO2+2 2 SeO4-2 = UO2(SeO4)2-2
UO2NO3+,UO2NO3+,U|+6|O2NO3+,aq,-0.19,0.15,20.9,3.5,,,,,1 UO2+2 1 NO3- = UO2NO3+
UO2PO4-,UO2PO4-,U|+6|O2PO4-,aq,11.01,0.48,,,,,,,1 UO2+2 1 PO4-3 = UO2PO4-
UO2HPO4(aq),UO2HPO4(aq),U|+6|O2HPO4(aq),aq,7.24,0.26,,,,,,,1 UO2+2 1 HPO4-2 = UO2HPO4(aq)
UO2H2PO4+,UO2H2PO4+,U|+6|O2H2PO4+,aq,1.12,0.06,,,,,,,1 UO2+2 1 H3PO4(aq) -1 H+ = UO2H2PO4+
UO2H3PO4+2,UO2H3PO4+2,U|+6|O2H3PO4+2,aq,0.76,0.15,,,,,,,1 UO2+2 1 H3PO4(aq) = UO2H3PO4+2
UO2(H2PO4)2(aq),UO2(H2PO4)2(aq),U|+6|O2(H2PO4)2(aq),aq,0.64,0.11,,,,,,,1 UO2+2 2 H3PO4(aq) -2 H+ = UO2(H2PO4)2(aq)
UO2(H2PO4)(H3PO4)+,UO2(H2PO4)(H3PO4)+,U|+6|O2(H2PO4)(H3PO4)+,aq,1.65,0.11,,,,,,,1 UO2+2 2 H3PO4(aq) -1 H+ = UO2(H2PO4)(H3PO4)+
UO2HAsO4(aq),UO2HAsO4(aq),U|+6|O2HAs|+5|O4(aq),aq,7.16,0.37,,,,,,,1 UO2+2 1 HAsO4-2 = UO2HAsO4(aq)
UO2H2AsO4+,UO2H2AsO4+,U|+6|O2H2As|+5|O4+,aq,1.34,0.42,,,,,,,1 UO2+2 1 H3AsO4(aq) -1 H+ = UO2H2AsO4+
UO2(H2AsO4)2(aq),UO2(H2AsO4)2(aq),U|+6|O2(H2As|+5|O4)2(aq),aq,0.29,0.53,,,,,,,1 UO2+2 2 H3AsO4(aq) -2 H+ = UO2(H2AsO4)2(aq)
UO2CO3(aq),UO2CO3(aq),U|+6|O2CO3(aq),aq,9.94,0.03,5,2,,,,,1 UO2+2 1 CO3-2 = UO2CO3(aq)
UO2(CO3)2-2,UO2(CO3)2-2,U|+6|O2(CO3)2-2,aq,16.61,0.09,18.5,4,,,,,1 UO2+2 2 CO3-2 = UO2(CO3)2-2
UO2(CO3)3-4,UO2(CO3)3-4,U|+6|O2(CO3)3-4,aq,21.84,0.04,-39.2,4.1,,,,,1 UO2+2 3 CO3-2 = UO2(CO3)3-4
(UO2)3(CO3)6-6,(UO2)3(CO3)6-6,(U|+6|O2)3(CO3)6-6,aq,54,1,-62.7,2.4,,,,,3 UO2+2 6 CO3-2 = (UO2)3(CO3)6-6
(UO2)2CO3(OH)3-,(UO2)2CO3(OH)3-,(U|+6|O2)2CO3(OH)3-,aq,-0.86,0.5,,,,,,,2 UO2+2 1 CO3-2 3 H2O(l) -3 H+ = (UO2)2CO3(OH)3-
(UO2)3O(OH)2(HCO3)+,(UO2)3O(OH)2HCO3+,(U|+6|O2)3O(OH)2HCO3+,aq,0.66,0.5,,,,,,,3 UO2+2 1 CO3-2 3 H2O(l) -3 H+ = (UO2)3O(OH)2(HCO3)+
UO2CO3F-,UO2CO3F-,U|+6|O2CO3F-,aq,13.75,0.09,,,,,,,1 UO2+2 1 CO3-2 1 F- = UO2CO3F-
UO2CO3F2-2,UO2CO3F2-2,U|+6|O2CO3F2-2,aq,15.57,0.14,,,,,,,1 UO2+2 1 CO3-2 2 F- = UO2CO3F2-2
UO2CO3F3-3,UO2CO3F3-3,U|+6|O2CO3F3-3,aq,16.38,0.11,,,,,,,1 UO2+2 1 CO3-2 3 F- = UO2CO3F3-3
MgUO2(CO3)3-2,MgUO2(CO3)3-2,MgU|+6|O2(CO3)3-2,aq,26.2,0.2,,,,,,,1 Mg+2 1 UO2+2 3 CO3-2 = MgUO2(CO3)3-2
Mg2UO2(CO3)3(aq),Mg2UO2(CO3)3(aq),Mg2U|+6|O2(CO3)3(aq),aq,27.1,0.6,,,,,,,2 Mg+2 1 UO2+2 3 CO3-2 = Mg2UO2(CO3)3(aq)
CaUO2(CO3)3-2,CaUO2(CO3)3-2,CaU|+6|O2(CO3)3-2,aq,27,0.2,-47,6,,,,,1 Ca+2 1 UO2+2 3 CO3-2 = CaUO2(CO3)3-2
Ca2UO2(CO3)3(aq),Ca2UO2(CO3)3,Ca2U|+6|O2(CO3)3,aq,30.8,0.4,-47,6,,,,,2 Ca+2 1 UO2+2 3 CO3-2 = Ca2UO2(CO3)3(aq)
SrUO2(CO3)3-2,SrUO2(CO3)3-2,SrU|+6|O2(CO3)3-2,aq,25.9,0.2,,,,,,,1 Sr+2 1 UO2+2 3 CO3-2 = SrUO2(CO3)3-2
Sr2UO2(CO3)3(aq),Sr2UO2(CO3)3(aq),Sr2U|+6|O2(CO3)3(aq),aq,29.7,0.5,,,,,,,2 Sr+2 1 UO2+2 3 CO3-2 = Sr2UO2(CO3)3(aq)
BaUO2(CO3)3-2,BaUO2(CO3)3-2,BaU|+6|O2(CO3)3-2,aq,25.6,0.3,,,,,,,1 Ba+2 1 UO2+2 3 CO3-2 = BaUO2(CO3)3-2
Ba2UO2(CO3)3(aq),Ba2UO2(CO3)3(aq),Ba2U|+6|O2(CO3)3(aq),aq,29.75,0.5,,,,,,,2 Ba+2 1 UO2+2 3 CO3-2 = Ba2UO2(CO3)3(aq)
UO2SCN+,UO2SCN+,U|+6|O2S|0|C|0|N|-1|+,aq,1.4,0.23,3.22,0.06,,,,,1 UO2+2 1 SCN- = UO2SCN+
UO2(SCN)2(aq),UO2(SCN)2(aq),U|+6|O2(S|0|C|0|N|-1|)2(aq),aq,1.24,0.55,8.9,0.6,,,,,1 UO2+2 2 SCN- = UO2(SCN)2(aq)
UO2(SCN)3-,UO2(SCN)3-,U|+6|O2(S|0|C|0|N|-1|)3-,aq,2.1,0.5,6,1.2,,,,,1 UO2+2 3 SCN- = UO2(SCN)3-
UO2(CO3)3-5,UO2(CO3)3-5,U|+5|O2(CO3)3-5,aq,7.19,0.36,,,,,,,1 UO2+ 3 CO3-2 = UO2(CO3)3-5
UOH+3,UOH+3,U|+4|OH+3,aq,-0.54,0.06,46.91,,,,,,1 U+4 1 H2O(l) -1 H+ = UOH+3
U(OH)2+2,U(OH)2+2,U|+4|(OH)2+2,aq,-1.9,0.2,,,,,,,1 U+4 2 H2O(l) -2 H+ = U(OH)2+2
U(OH)3+,U(OH)3+,U|+4|(OH)3+,aq,-5.2,0.4,,,,,,,1 U+4 3 H2O(l) -3 H+ = U(OH)3+
U(OH)4(aq),U(OH)4(aq),U|+4|(OH)4(aq),aq,-10,1.4,,,,,,,1 U+4 4 H2O(l) -4 H+ = U(OH)4(aq)
UF+3,UF+3,U|+4|F+3,aq,9.42,0.51,-5.6,0.5,,,,,1 U+4 1 F- = UF+3
UF2+2,UF2+2,U|+4|F2+2,aq,16.56,0.71,-3.5,0.6,,,,,1 U+4 2 F- = UF2+2
UF3+,UF3+,U|+4|F3+,aq,21.89,0.83,0.5,4,,,,,1 U+4 3 F- = UF3+
UF4(aq),UF4(aq),U|+4|F4(aq),aq,26.34,0.96,-8.43,,,,,,1 U+4 4 F- = UF4(aq)
UF5-,UF5-,U|+4|F5-,aq,27.73,0.74,,,,,,,1 U+4 5 F- = UF5-
UF6-2,UF6-2,U|+4|F6-2,aq,29.8,0.7,,,,,,,1 U+4 6 F- = UF6-2
UCl+3,UCl+3,U|+4|Cl+3,aq,1.72,0.13,-19,9,,,,,1 U+4 1 Cl- = UCl+3
UI+3,UI+3,U|+4|I|-1|+3,aq,1.25,0.3,,,,,,,1 U+4 1 I- = UI+3
USO4+2,USO4+2,U|+4|SO4+2,aq,6.58,0.19,8,2.7,,,,,1 U+4 1 SO4-2 = USO4+2
U(SO4)2(aq),U(SO4)2(aq),U|+4|(SO4)2(aq),aq,10.51,0.2,32.7,2.8,,,,,1 U+4 2 SO4-2 = U(SO4)2(aq)
UNO3+3,UNO3+3,U|+4|NO3+3,aq,1.47,0.13,,,,,,,1 U+4 1 NO3- = UNO3+3
U(NO3)2+2,U(NO3)2+2,U|+4|(NO3)2+2,aq,2.3,0.35,,,,,,,1 U+4 2 NO3- = U(NO3)2+2
UH2PO4+3,UH2PO4+3,U|+4|H2PO4+3,aq,6.8,0.7,,,,,,,1 U+4 1 H2PO4- = UH2PO4+3
U(CO3)4-4,U(CO3)4-4,U|+4|(CO3)4-4,aq,35.22,1.03,,,,,,,1 U+4 4 CO3-2 = U(CO3)4-4
U(CO3)5-6,U(CO3)5-6,U|+4|(CO3)5-6,aq,33.9,1,-20,4,,,,,1 U+4 5 CO3-2 = U(CO3)5-6
UCO3(OH)3-,UCO3(OH)3-,U|+4|CO3(OH)3-,aq,4,,,,,,,,1 U+4 1 CO3-2 3 H2O(l) -3 H+ = UCO3(OH)3-
USCN+3,USCN+3,U|+4|S|0|C|0|N|-1|+3,aq,2.83,0.15,-27,8,,,,,1 U+4 1 SCN- = USCN+3
U(SCN)2+2,U(SCN)2+2,U|+4|(S|0|C|0|N|-1|)2+2,aq,4.26,0.18,-18,4,,,,,1 U+4 2 SCN- = U(SCN)2+2
