Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Ni[(UO2)(PO4)]2w8(cr),Ni[(UO2)(PO4)]2:8H2O(cr),Ni[(U|+6|O2)(PO4)]2(H2O)8,s,49.9,1,-17.528,,,,,,2 UO2+2 1 Ni+2 2 PO4-3 8 H2O(l) = Ni[(UO2)(PO4)]2w8(cr)
Mn[(UO2)(PO4)]2w10(cr),Mn[(UO2)(PO4)]2:10H2O(cr),Mn[(U|+6|O2)(PO4)]2(H2O)10,s,50.22,0.4,,,,,,,2 UO2+2 1 Mn+2 2 PO4-3 10 H2O(l) = Mn[(UO2)(PO4)]2w10(cr)
Cd[(UO2)(PO4)]2w10(cr) ,Cd[(UO2)(PO4)]2:10H2O(cr),Cd[(U|+6|O2)(PO4)]2(H2O)10 ,s,50.34,0.3,,,,,,,2 UO2+2 1 Cd+2 2 PO4-3 10 H2O(l) = Cd[(UO2)(PO4)]2w10(cr)
Pb[(UO2)(PO4)]2w8(cr) ,Pb[(UO2)(PO4)]2:8H2O(cr),Pb[(U|+6|O2)(PO4)]2(H2O)8 ,s,49.85,0.5,,,,,,,2 UO2+2 1 Pb+2 2 PO4-3 8 H2O(l) = Pb[(UO2)(PO4)]2w8(cr)
Pb2(UO2)(PO4)2w2(cr),Parsonite,Pb2(U|+6|O2)(PO4)2(H2O)2,s,52.2,0.8,,,,,,,1 UO2+2 2 Pb+2 2 PO4-3 2 H2O(l) = Pb2(UO2)(PO4)2w2(cr)
HAl[(UO2)(PO4)]4w16(cr),Sabugalite,HAl[(U|+6|O2)(PO4)]4(H2O)16,s,13.1,1.2,,,,,,,4 UO2+2 1 Al+3 4 H2PO4- 16 H2O(l) -7 H+ = HAl[(UO2)(PO4)]4w16(cr)
(UO2)3(AsO4)2w12(cr),Trögerite,(U|+6|O2)3(As|+5|O4)2(H2O)12,s,45.33,1,,,,,,,3 UO2+2 2 AsO4-3 12 H2O(l) = (UO2)3(AsO4)2w12(cr)
UO2HAsO4w4(cr),Hydrogen_uranospinite,U|+6|O2HAs|+5|O4(H2O)4,s,23,0.3,-32.837,,,,,,1 UO2+2 1 H+ 1 AsO4-3 4 H2O(l) = UO2HAsO4w4(cr)
Li(UO2)(AsO4)w4(cr),Li(UO2)(AsO4):4H2O(cr),Li(U|+6|O2)(As|+5|O4)(H2O)4,s,20.4,1,-16.279,,,,,,1 UO2+2 1 Li+ 1 AsO4-3 4 H2O(l) = Li(UO2)(AsO4)w4(cr)
Na(UO2)(AsO4)w3(cr),Na(UO2)(AsO4):3H2O(cr),Na(U|+6|O2)(As|+5|O4)(H2O)3,s,22.8,1,-31.249,,,,,,1 UO2+2 1 Na+ 1 AsO4-3 3 H2O(l) = Na(UO2)(AsO4)w3(cr)
K(UO2)(AsO4)w3(cr),K(UO2)(AsO4):3H2O(cr),K(U|+6|O2)(As|+5|O4)(H2O)3,s,23.3,1,-44.761,,,,,,1 UO2+2 1 K+ 1 AsO4-3 3 H2O(l) = K(UO2)(AsO4)w3(cr)
Cs(UO2)(AsO4)w2.5(cr),Cs(UO2)(AsO4):2.5H2O(cr),Cs(U|+6|O2)(As|+5|O4)(H2O)2.5,s,25.2,1,-55.584,,,,,,1 UO2+2 1 Cs+ 1 AsO4-3 2.5 H2O(l) = Cs(UO2)(AsO4)w2.5(cr)
NH4(UO2)(AsO4)w3(cr),NH4(UO2)(AsO4):3H2O(cr),N|-3|H4(U|+6|O2)(As|+5|O4)(H2O)3,s,24.7,1,-49.760,,,,,,1 UO2+2 1 NH4+ 1 AsO4-3 3 H2O(l) = NH4(UO2)(AsO4)w3(cr)
Mg[(UO2)(AsO4)]2w10(cr),Mg[(UO2)(AsO4)]2:10H2O(cr),Mg[(U|+6|O2)(As|+5|O4)]2(H2O)10,s,44.6,0.5,-10.546,,,,,,2 UO2+2 1 Mg+2 2 AsO4-3 10 H2O(l) = Mg[(UO2)(AsO4)]2w10(cr)
Ca[(UO2)(AsO4)]2w10(cr),Ca[(UO2)(AsO4)]2:10H2O(cr),Ca[(U|+6|O2)(As|+5|O4)]2(H2O)10,s,45.1,1,-33.018,,,,,,2 UO2+2 1 Ca+2 2 AsO4-3 10 H2O(l) = Ca[(UO2)(AsO4)]2w10(cr)
Sr[(UO2)(AsO4)]2w8(cr),Sr[(UO2)(AsO4)]2:8H2O(cr),Sr[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,45.1,1,-33.257,,,,,,2 UO2+2 1 Sr+2 2 AsO4-3 8 H2O(l) = Sr[(UO2)(AsO4)]2w8(cr)
Ba[(UO2)(AsO4)]2w7(cr),Ba[(UO2)(AsO4)]2:7H2O(cr),Ba[(U|+6|O2)(As|+5|O4)]2(H2O)7,s,44.7,1,-27.977,,,,,,2 UO2+2 1 Ba+2 2 AsO4-3 7 H2O(l) = Ba[(UO2)(AsO4)]2w7(cr)
Cu[(UO2)(AsO4)]2w8(cr),Metazeunerite,Cu[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,45.7,1,-35.638,,,,,,2 UO2+2 1 Cu+2 2 AsO4-3 8 H2O(l) = Cu[(UO2)(AsO4)]2w8(cr)
Ni[(UO2)(AsO4)]2w10(cr),Rauchite,Ni[(U|+6|O2)(As|+5|O4)]2(H2O)10,s,45.9,1,-42.176,,,,,,2 UO2+2 1 Ni+2 2 AsO4-3 10 H2O(l) = Ni[(UO2)(AsO4)]2w10(cr)
Fe[(UO2)(AsO4)]2w8(cr),Metakahlerite,Fe[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,46.1,2.2,-37.274,,,,,,2 UO2+2 1 Fe+2 2 AsO4-3 8 H2O(l) = Fe[(UO2)(AsO4)]2w8(cr)
Mn[(UO2)(AsO4)]2w8(cr),Mn[(UO2)(AsO4)]2:8H2O(cr),Mn[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,44.4,1,-36.089,,,,,,2 UO2+2 1 Mn+2 2 AsO4-3 8 H2O(l) = Mn[(UO2)(AsO4)]2w8(cr)
Zn[(UO2)(AsO4)]2w8(cr),Zn[(UO2)(AsO4)]2:8H2O(cr),Zn[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,45.1,1,-28.695,,,,,,2 UO2+2 1 Zn+2 2 AsO4-3 8 H2O(l) = Zn[(UO2)(AsO4)]2w8(cr)
Cd[(UO2)(AsO4)]2w8(cr),Cd[(UO2)(AsO4)]2:8H2O(cr),Cd[(U|+6|O2)(As|+5|O4)]2(H2O)8,s,45.4,1,-36.967,,,,,,2 UO2+2 1 Cd+2 2 AsO4-3 8 H2O(l) = Cd[(UO2)(AsO4)]2w8(cr)
Pb[(UO2)(AsO4)]2w10(cr),Pb[(UO2)(AsO4)]2:10H2O(cr),Pb[(U|+6|O2)(As|+5|O4)]2(H2O)10,s,46.3,1,-83.010,,,,,,2 UO2+2 1 Pb+2 2 AsO4-3 10 H2O(l) = Pb[(UO2)(AsO4)]2w10(cr)
Li(UO2)(BO3)w1.5(cr),Li(UO2)(BO3):1.5H2O(cr),Li(U|+6|O2)(BO3)(H2O)1.5,s,-4.58,0.2,22.050,,,,,,0.5 (UO2)2(OH)2+2 1 Li+ 1 B(OH)3(aq) 0.5 H2O(l) -2 H+ = Li(UO2)(BO3)w1.5(cr)
Na(UO2)(BO3)w1(cr),Na(UO2)(BO3):H2O(cr),Na(U|+6|O2)(BO3)(H2O),s,-4.47,0.2,15.031,,,,,,0.5 (UO2)2(OH)2+2 1 Na+ 1 B(OH)3(aq) -2 H+ = Na(UO2)(BO3)w1(cr)
K(UO2)(BO3)w1(cr),K(UO2)(BO3):H2O(cr),K(U|+6|O2)(BO3)(H2O),s,-3.9,0.2,-3.891,,,,,,0.5 (UO2)2(OH)2+2 1 K+ 1 B(OH)3(aq) -2 H+ = K(UO2)(BO3)w1(cr)
Cs(UO2)(BO3)w1(cr),Cs(UO2)(BO3):H2O(cr),Cs(U|+6|O2)(BO3)(H2O),s,-3.92,0.2,14.739,,,,,,0.5 (UO2)2(OH)2+2 1 Cs+ 1 B(OH)3(aq) -2 H+ = Cs(UO2)(BO3)w1(cr)
