substance,formula,state,dHf_298,dHf_298_error,S_298,S_298_error,H_298-H_0,H_298-H_error,ref
Na+,Na+,aq,-240.34,0.06,58.45,0.15,,,1989COX/WAG
Ne(g),Ne,g,0,,146.328,0.003,6.197,0.001,1989COX/WAG
O(g),O,g,249.18,0.1,161.059,0.003,6.725,0.001,1989COX/WAG
OH-,OH-,aq,-230.015,0.04,-10.9,0.2,,,1989COX/WAG
O2(g),O2,g,0,,205.152,0.005,8.68,0.002,1989COX/WAG
P(white)(cr),P,cr,0,,41.09,0.25,5.36,0.015,1989COX/WAG
P(g),P,g,316.5,1,163.199,0.003,6.197,0.001,1989COX/WAG
P2(g),P2,g,144,2,218.123,0.004,8.904,0.001,1989COX/WAG
P4(g),P4,g,58.9,0.3,280.01,0.5,14.1,0.2,1989COX/WAG
Pb(cr),Pb,cr,0,,64.8,0.3,6.87,0.03,1989COX/WAG
Pb(g),Pb,g,195.2,0.8,175.375,0.005,6.197,0.001,1989COX/WAG
Pb+2,Pb+2,aq,0.92,0.25,18.5,1,,,1989COX/WAG
PbSO4(cr),PbSO4,cr,-919.97,0.4,148.5,0.6,20.05,0.04,1989COX/WAG
Rb(cr),Rb,cr,0,,76.78,0.3,7.489,0.02,1989COX/WAG
Rb(g),Rb,g,80.9,0.8,170.094,0.003,6.197,0.001,1989COX/WAG
Rb+,Rb+,aq,-251.12,0.1,121.75,0.25,,,1989COX/WAG
S(rhombic)(cr),S,cr,0,,32.054,0.05,4.412,0.006,1989COX/WAG
S(g),S,g,277.17,0.15,167.829,0.006,6.657,0.001,1989COX/WAG
SO2(g),SO2,g,-296.81,0.2,248.223,0.05,10.549,0.01,1989COX/WAG
SO4-2,SO4-2,aq,-909.34,0.4,18.5,0.4,,,1989COX/WAG
S2(g),S2,g,128.6,0.3,228.167,0.01,9.132,0.002,1989COX/WAG
Si(cr),Si,cr,0,,18.81,0.08,3.217,0.008,1989COX/WAG
Si(g),Si,g,450,8,167.981,0.004,7.55,0.001,1989COX/WAG
SiF4(g),SiF4,g,-1615,0.8,282.76,0.5,15.36,0.05,1989COX/WAG
SiO2(alpha_quartz)(cr),SiO2,cr,-910.7,1,41.46,0.2,6.916,0.02,1989COX/WAG
Sn(white)(cr),Sn,cr,0,,51.18,0.08,6.323,0.008,1989COX/WAG
Sn(g),Sn,g,301.2,1.5,168.492,0.004,6.215,0.001,1989COX/WAG
Sn+2,Sn+2,aq,-8.9,1,-16.7,4,,,1989COX/WAG
SnO(tetragonal)(cr),SnO,cr,-280.71,0.2,57.17,0.3,8.736,0.02,1989COX/WAG
SnO2(tetragonal)(cr),SnO2,cr,-577.63,0.2,49.04,0.1,8.384,0.02,1989COX/WAG
Th(cr),Th,cr,0,,51.8,0.5,6.35,0.05,1989COX/WAG
Th(g),Th,g,602,6,190.17,0.05,6.197,0.003,1989COX/WAG
ThO2(cr),ThO2,cr,-1226.4,3.5,65.23,0.2,10.56,0.02,1989COX/WAG
Ti(cr),Ti,cr,0,,30.72,0.1,4.824,0.015,1989COX/WAG
Ti(g),Ti,g,473,3,180.298,0.01,7.539,0.002,1989COX/WAG
TiCl4(g),TiCl4,g,-763.2,3,353.2,4,21.5,0.5,1989COX/WAG
TiO2(rutile)(cr),TiO2,cr,-944,0.8,50.62,0.3,8.68,0.05,1989COX/WAG
U(cr),U,cr,0,,50.2,0.2,6.364,0.02,1989COX/WAG
U(g),U,g,533,8,199.79,0.1,6.499,0.02,1989COX/WAG
UO2(cr),UO2,cr,-1085,1,77.03,0.2,11.28,0.02,1989COX/WAG
UO2+2,UO2+2,aq,-1019,1.5,-98.2,3,,,1989COX/WAG
UO3(gamma)(cr),UO3,cr,-1223.8,1.2,96.11,0.4,14.585,0.05,1989COX/WAG
U3O8(cr),U3O8,cr,-3574.8,2.5,282.55,0.5,42.74,0.1,1989COX/WAG
Xe(g),Xe,g,0,,169.685,0.003,6.197,0.001,1989COX/WAG
Zn(cr),Zn,cr,0,,41.63,0.15,5.657,0.02,1989COX/WAG
Zn(g),Zn,g,130.4,0.4,160.99,0.004,6.197,0.001,1989COX/WAG
Zn+2,Zn+2,aq,-153.39,0.2,-109.8,0.5,,,1989COX/WAG
ZnO(cr),ZnO,cr,-350.46,0.27,43.65,0.4,6.933,0.04,1989COX/WAG
