Fe-monosulfate ; Ca4Fe2(SO4)(OH)12:6H2O = 4Ca++ + 2Fe(OH)4- + SO4-- + 4OH- + 6H2O	; log_K   	-33.2028	 ; -analytical_expression 	549.68566248846	0	-30126.34439200350	-194.7198331591	0	   
stratlingite ; Ca2Al2SiO2(OH)10:3H2O = 2Ca++ + 2Al(OH)4- + 1SiO(OH)3- + OH- +2H2O	; log_K   	-19.7042	 ; -analytical_expression 	148.95692659946	0	-9589.95690828914	-55.1593539487	0	   
Fe-stratlingite ; Ca2Fe2SiO2(OH)10:3H2O = 2Ca++ + 2Fe(OH)4- + 1SiO(OH)3- + OH- +2H2O	; log_K   	-23.702	 ; -analytical_expression 	293.87516007432	0	-18722.47854424510	-102.9618101367	0	   
hemicarboaluminate ; Ca4Al2(CO3)0.5(OH)13:5.5H2O = 4Ca++ + 2Al(OH)4- + 0.5CO3-- + 5OH- + 5.5H2O	; log_K   	-29.1327	 ; -analytical_expression 	411.51063104013	0	-21526.38118104660	-148.8963270235	0	   
Fe-hemicarbonate ; Ca4Fe2(CO3)0.5(OH)13:5.5H2O = 4Ca++ + 2Fe(OH)4- + 0.5CO3-- + 5OH- + 5.5H2O	; log_K   	-33.1027	 ; -analytical_expression 	556.27003898143	0	-30644.51984410740	-196.6441798735	0	   
monocarboaluminate ; Ca4Al2(CO3)(OH)12:5H2O = 4Ca++ + 2Al(OH)4- + CO3-- + 4OH- + 5H2O	; log_K   	-31.4726	 ; -analytical_expression 	419.54622572991	0	-22668.16504663430	-151.5423037557	0	   
Fe-monocarbonate ; Ca4Fe2(CO3)(OH)12:5H2O = 4Ca++ + 2Fe(OH)4- + CO3-- + 4OH- + 5H2O	; log_K   	-35.5 ; -analytical_expression 	554.47107047792	0	-31715.13432703260	-195.43556986521	0	   
hydrotaliceOH ; Mg4Al2(OH)14:3H2O = 4Mg++ + 2Al(OH)4- + 6OH- + 3H2O	; log_K   	-56.0214	 ; -analytical_expression 	354.74992257809	0	-22738.24127204280	-135.1853566837	0	   
hydrotalciteFe  ; Mg4Fe2(OH)14:3H2O = 4Mg++ + 2Fe(OH)4- + 6OH- + 3H2O	; log_K   	-60.002	 ; -analytical_expression 	499.50943498605	0	-31856.37993510370	-182.9332095337	0	   
CAH10 ; CaAl2(OH)8:6H2O = Ca++ + 2Al(OH)4- + 6H2O	; log_K   	-7.50282	 ; -analytical_expression 	19.33995799190	0	-4170.78109558596	-5.1912860770	0	   
hydrogarnetSi   ; Ca3Al2(SiO4)0.8(OH)8.8 + 2.4H2O = 3Ca++ + 2Al(OH)4- + 0.8 SiO(OH)3- + 3.2OH-	; log_K   	-29.8707	 ; -analytical_expression 	305.23780762563	0	-16550.88410201760	-112.9922268420	0	   
hydrotalciteC  ; Mg4Al2(OH)12CO3:3H2O = 4Mg++ + 2Al(OH)4- + CO3-- + 4OH- + 3H2O	; log_K   	-51.142	 ; -analytical_expression 	358.37159560480	0	-21030.32915266930	-136.9894317284	0	   
syngenite ; K2Ca(SO4)2H2O = 2K+ + 1Ca++ + 2SO4-- + 1H2O	; log_K   	-7.2003	 ; -analytical_expression 	256.44664476696	0	-12598.84393306150	-89.4698545074	0	   
Al(OH)3am ; Al(OH)3 = Al(OH)4- - 1OH-	; log_K   	0.239427	 ; -analytical_expression 	-48.08001615409	0	1546.32359095493	17.4322960704	0	   
Fe(OH)3mic ; Fe(OH)3 = Fe(OH)4- - 1OH-	; log_K   	-4.60039	 ; -analytical_expression 	2.49263607431	0	-2892.86085047996	1.0555041728	0	   
Calcite ; CaCO3                  =  +1.000Ca+2                 -1.000H+                   +1.000HCO3-	; log_K   	1.84897	 ; -analytical_expression 	49.00173153277	0	-958.45338123134	-17.7571498501	0	   
Portlandite ; Ca(OH)2                =  +1.000Ca+2                 +2.000H2O                  -2.000H+	; log_K   	22.79937	 ; -analytical_expression 	-11.29923807115	0	7303.68926279255	3.8839330279	0	   
Anhydrite ; CaSO4                  =  +1.000Ca+2                 +1.000SO4-2	; log_K   	-4.35754	 ; -analytical_expression 	131.22651283827	0	-5228.78943438100	-47.7070807540	0	   
Gypsum ; CaSO4:2H2O             =  +1.000Ca+2                 +1.000SO4-2                +2.000H2O	; log_K   	-4.58147	 ; -analytical_expression 	111.52942046684	0	-5116.92285811085	-39.9882855394	0	   
Hematite ; Fe2O3                  =  +3.000H2O                  -6.000H+                   +2.000Fe+3	; log_K   	1.118973	 ; -analytical_expression 	-11.36089784168	0	6572.14422725869	-3.8633665724	0	   
Brucite ; Mg(OH)2                =  +1.000Mg+2                 +2.000H2O                  -2.000H+	; log_K   	16.83953	 ; -analytical_expression 	-21.32005009039	0	6781.89650685512	6.2277873260	0	 
Thaumasite ;  (CaSiO3)2(CaSO4)2(CaCO3)2(H2O)30= 6.000 Ca+2 + 2  SiO(OH)3- +  2 CO3-2 + 2 SO4-2 + 2 OH- + 26 H2O	 ; log_K	-49.4078983	 ; -analytical_expression 	596.55829677308	0	-37214.18686948530	-210.5956935526	0
